Frame,Class,Color,Conf,x1,y1,x2,y2
232,traffic light,Red,0.6444,688,356,731,443
233,traffic light,Red,0.6506,688,356,731,443
234,traffic light,Red,0.6533,688,356,731,443
235,traffic light,Red,0.6857,688,356,731,442
236,traffic light,Red,0.6878,688,356,731,442
237,traffic light,Red,0.6625,688,356,731,442
238,traffic light,Red,0.6807,688,356,731,442
239,traffic light,Red,0.6916,688,356,731,442
240,traffic light,Red,0.6788,688,357,730,442
241,traffic light,Red,0.6663,688,357,730,442
242,traffic light,Red,0.6713,688,357,730,442
243,traffic light,Red,0.6787,688,357,730,441
244,traffic light,Red,0.6981,688,357,730,441
245,traffic light,Red,0.7112,688,357,730,441
246,traffic light,Red,0.7531,688,356,730,442
247,traffic light,Red,0.7475,688,356,730,442
248,traffic light,Red,0.7530,688,356,730,442
249,traffic light,Red,0.7551,688,356,730,442
250,traffic light,Red,0.7493,688,356,730,442
251,traffic light,Red,0.7486,688,357,731,442
252,traffic light,Red,0.7400,688,357,731,442
253,traffic light,Red,0.7522,688,357,730,442
254,traffic light,Red,0.7429,688,357,730,442
255,traffic light,Red,0.7409,688,357,730,442
256,traffic light,Red,0.7392,688,356,731,442
257,traffic light,Red,0.7406,688,357,731,442
258,traffic light,Red,0.7300,688,357,731,442
259,traffic light,Red,0.7369,688,357,731,442
260,traffic light,Red,0.7387,688,356,731,443
261,traffic light,Red,0.7427,688,356,731,442
262,traffic light,Red,0.7296,688,356,731,442
263,traffic light,Red,0.7420,688,356,731,443
264,traffic light,Red,0.7373,688,356,731,443
265,traffic light,Red,0.7362,688,356,731,443
266,traffic light,Red,0.7442,688,356,731,443
267,traffic light,Red,0.7394,688,356,731,443
268,traffic light,Red,0.7344,688,356,731,443
269,traffic light,Red,0.7385,688,356,731,443
270,traffic light,Red,0.7331,688,356,731,443
271,traffic light,Red,0.7333,688,356,731,443
272,traffic light,Red,0.7284,688,356,731,443
273,traffic light,Red,0.7317,688,356,731,443
274,traffic light,Red,0.7235,688,356,731,443
275,traffic light,Red,0.7161,688,356,731,443
276,traffic light,Red,0.7148,688,356,731,443
277,traffic light,Red,0.7277,688,356,731,442
278,traffic light,Red,0.7222,688,356,731,442
279,traffic light,Red,0.7404,688,356,731,442
280,traffic light,Red,0.7358,689,356,731,442
281,traffic light,Red,0.7450,689,356,730,442
282,traffic light,Red,0.7329,689,356,730,442
283,traffic light,Red,0.7346,688,356,731,442
284,traffic light,Red,0.7286,688,356,731,442
285,traffic light,Red,0.7137,688,356,731,442
286,traffic light,Red,0.7268,688,356,731,442
287,traffic light,Red,0.7101,688,356,731,442
288,traffic light,Red,0.7208,688,356,731,442
289,traffic light,Red,0.7308,688,356,731,442
290,traffic light,Red,0.7200,688,356,731,442
291,traffic light,Red,0.7220,688,356,731,442
292,traffic light,Red,0.7192,688,356,731,442
293,traffic light,Red,0.7280,688,356,731,442
294,traffic light,Red,0.7369,688,356,731,442
295,traffic light,Red,0.7316,688,356,731,442
296,traffic light,Red,0.7183,688,356,731,442
297,traffic light,Red,0.7211,688,356,731,442
298,traffic light,Red,0.7160,688,356,731,442
299,traffic light,Red,0.7277,688,356,731,442
300,traffic light,Red,0.6725,688,356,730,441
301,traffic light,Red,0.6742,688,356,730,441
302,traffic light,Red,0.6698,688,356,730,441
303,traffic light,Red,0.6625,688,356,730,441
304,traffic light,Red,0.6637,688,356,730,441
305,traffic light,Red,0.6696,687,356,730,441
306,traffic light,Red,0.6751,687,356,730,441
307,traffic light,Red,0.6929,687,356,730,441
308,traffic light,Red,0.6935,687,356,730,441
309,traffic light,Red,0.6915,687,356,730,441
310,traffic light,Red,0.7001,687,356,730,441
311,traffic light,Red,0.7007,687,356,730,441
312,traffic light,Red,0.6972,688,356,730,441
313,traffic light,Red,0.6960,688,356,730,441
314,traffic light,Red,0.7056,688,356,730,441
315,traffic light,Red,0.7024,688,356,730,441
316,traffic light,Red,0.7073,688,356,730,441
317,traffic light,Red,0.7029,688,356,730,441
318,traffic light,Red,0.7215,688,356,730,441
319,traffic light,Red,0.7185,688,356,730,441
320,traffic light,Red,0.7143,688,356,730,441
321,traffic light,Red,0.7134,688,356,730,441
322,traffic light,Red,0.7046,688,356,730,441
323,traffic light,Red,0.7023,688,356,730,441
324,traffic light,Red,0.7062,688,356,730,441
325,traffic light,Red,0.7131,688,356,730,441
326,traffic light,Red,0.7116,688,356,730,441
327,traffic light,Red,0.7208,688,356,730,441
328,traffic light,Red,0.7158,688,356,730,441
329,traffic light,Red,0.7232,688,356,730,441
330,traffic light,Red,0.7273,688,356,730,441
331,traffic light,Red,0.7293,688,356,730,441
332,traffic light,Red,0.7173,688,356,730,441
333,traffic light,Red,0.7186,688,356,730,441
334,traffic light,Red,0.7162,688,356,730,441
335,traffic light,Red,0.7047,688,356,730,441
336,traffic light,Red,0.7148,688,356,730,441
337,traffic light,Red,0.7122,688,356,731,441
338,traffic light,Red,0.6964,688,356,730,441
339,traffic light,Red,0.7052,688,356,730,441
340,traffic light,Red,0.7052,688,356,731,442
341,traffic light,Red,0.6975,688,356,731,442
342,traffic light,Red,0.6908,688,357,731,442
